timestamp,model,compression,attack,clean_acc,robust_acc,asr,robustness_gap
2026-04-15T02:56:06Z,deit_small,fp32,fgsm,0.85,0.614,0.386,0.236
2026-04-15T02:57:21Z,deit_small,fp32,pgd,0.85,0.079,0.921,0.771
2026-04-15T03:14:50Z,deit_small,fp32,patch,0.85,0.192,0.808,0.658
2026-04-15T03:31:53Z,deit_small,int4,fgsm,0.844,0.565,0.435,0.279
2026-04-15T03:32:41Z,deit_small,int4,pgd,0.844,0.065,0.935,0.779
2026-04-15T03:40:22Z,deit_small,int4,patch,0.844,0.111,0.889,0.733
2026-06-08T08:59:45Z,deit_small,int8,fgsm,0.897325,0.387516,0.612484,0.509809
2026-06-08T09:09:39Z,deit_small,int8,pgd,0.897325,0.0,1.0,0.897325
2026-06-08T09:19:09Z,deit_small,int8,patch,0.897325,0.3,0.7,0.594
